"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"250","Broadhurst","Fosse","Musical","3/5/00",2000,3,7588,480887,83
"251","Golden","Jackie Mason: Much Ado About Everything","Play","3/5/00",2000,3,3457,174119,100
"252","Belasco","James Joyce'S The Dead","Musical","3/5/00",2000,3,5904,269705,74
"253","Plymouth","Jekyll & Hyde","Musical","3/5/00",2000,3,6077,336291,71
"254","Martin Beck","Kiss Me, Kate","Musical","3/5/00",2000,3,8639,595263,76
"255","Imperial","Les Miserables","Musical","3/5/00",2000,3,9219,408893,81
"256","Broadway","Miss Saigon","Musical","3/5/00",2000,3,7393,314551,53
"257","Nederlander","Rent","Musical","3/5/00",2000,3,7460,398964,79
"258","Gershwin","Riverdance","Musical","3/5/00",2000,3,7702,448171,100
"259","Minskoff","Saturday Night Fever","Musical","3/5/00",2000,3,9165,526081,68
"260","Helen Hayes","Squonk","Musical","3/5/00",2000,3,1209,44330,26
"261","St. James","Swing!","Musical","3/5/00",2000,3,6853,343138,50
"262","New Amsterdam","The Lion King","Musical","3/5/00",2000,3,14524,934933,101
"263","Majestic","The Phantom Of The Opera","Musical","3/5/00",2000,3,10745,592331,84
"264","Royale","The Price 99","Play","3/5/00",2000,3,4380,155119,51
"265","Circle In The Square","True West","Play","3/5/00",2000,3,4178,198009,84
"266","Eugene O'Neill","Waiting In The Wings","Play","3/5/00",2000,3,4648,202098,54
"267","Palace","Aida","Musical","3/12/00",2000,3,12977,705118,94
"268","Music Box","Amadeus","Play","3/12/00",2000,3,5929,245988,75
"269","Marquis","Annie Get Your Gun","Musical","3/12/00",2000,3,10965,611914,86
"270","Lunt-Fontanne","Beauty And The Beast","Musical","3/12/00",2000,3,11642,590934,99
"271","Studio 54 ('98)","Cabaret 98","Musical","3/12/00",2000,3,6956,454967,95
"272","Winter Garden","Cats","Musical","3/12/00",2000,3,10340,468280,87
"273","Shubert","Chicago","Musical","3/12/00",2000,3,8899,530348,76
"274","Vivian Beaumont","Contact","Musical","3/12/00",2000,3,7767,515887,91
"275","Booth","Dame Edna: The Royal Tour","Play","3/12/00",2000,3,4966,239321,81
"276","Richard Rodgers","Footloose","Musical","3/12/00",2000,3,8968,372472,83
"277","Broadhurst","Fosse","Musical","3/12/00",2000,3,8184,522924,90
"278","Golden","Jackie Mason: Much Ado About Everything","Play","3/12/00",2000,3,3242,167512,93
"279","Belasco","James Joyce'S The Dead","Musical","3/12/00",2000,3,5729,262424,72
"280","Plymouth","Jekyll & Hyde","Musical","3/12/00",2000,3,7044,381063,83
"281","Martin Beck","Kiss Me, Kate","Musical","3/12/00",2000,3,8910,608480,78
"282","Imperial","Les Miserables","Musical","3/12/00",2000,3,10461,473726,92
"283","Broadway","Miss Saigon","Musical","3/12/00",2000,3,9662,415271,69
"284","Nederlander","Rent","Musical","3/12/00",2000,3,8927,469197,94
